"ChineseFile","EnglishFile","StructureMatch","ChineseCounts","EnglishCounts"
"能力中心—微纳3D打印子页面.html","capability-micro-3d-printing.html","yes","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—阳极氧化表面处理子页面.html","finish-anodizing.html","yes","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—医疗零件加工子页面.html","capability-medical-parts.html","yes","{""sections"":7,""cards"":24,""links"":122,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":24,""links"":122,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—异形零件加工子页面.html","capability-complex-parts.html","yes","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—注塑成型子页面.html","capability-injection-molding.html","yes","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—CNC加工服务子页面.html","service-cnc-machining.html","yes","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"行业案例—半导体洁净包装精密备件.html","case-semiconductor-clean-packaging-precision-spares.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—半导体设备定位夹具小批量加工.html","case-semiconductor-equipment-positioning-fixture-low-volume.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—半导体设备腔体周边结构件.html","case-semiconductor-equipment-chamber-structural-parts.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—电子便携设备内部支架试制.html","case-electronics-portable-device-internal-bracket.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—电子铝合金外壳与散热结构.html","case-electronics-aluminum-housing-thermal-structure.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—电子铜合金连接件小批加工.html","case-electronics-copper-alloy-connector-low-volume.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—航天轻量化支架与复杂腔体.html","case-aerospace-lightweight-bracket-complex-cavity.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—航天钛合金连接件首件验证.html","case-aerospace-titanium-connector-first-article.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—航天星载设备安装板小批加工.html","case-aerospace-satellite-equipment-mounting-plate.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—机器人末端执行器安装座.html","case-robotics-end-effector-mounting-base.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—机器人轻量化关节连接板.html","case-robotics-lightweight-joint-connection-plate.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—机器人自动化产线检测治具.html","case-robotics-automation-line-inspection-fixture.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—汽车测试夹具与小批试制件.html","case-automotive-test-fixture-low-volume-parts.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—汽车传感器安装座小批交付.html","case-automotive-sensor-mount-low-volume-delivery.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—汽车动力系统支架试制.html","case-automotive-powertrain-bracket-prototype.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—通信户外设备安装支架.html","case-telecommunications-outdoor-equipment-mounting-bracket.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—通信模块外壳与连接件配套.html","case-telecommunications-module-housing-connector-set.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—通信散热基板与端盖加工.html","case-telecommunications-thermal-baseplate-end-cover.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—消费品外观样机与功能件试制.html","case-consumer-products-appearance-prototype-functional-parts.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—消费品小家电内部支架小批试制.html","case-consumer-products-small-appliance-internal-bracket.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—消费品智能穿戴外壳样件.html","case-consumer-products-smart-wearable-housing-prototype.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—新能源储能模块测试夹具.html","case-new-energy-storage-module-test-fixture.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—新能源电池包绝缘隔离件.html","case-new-energy-battery-pack-insulation-spacer.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—新能源电驱控制器散热底板.html","case-new-energy-drive-controller-heat-sink-base.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—医疗器械实验仪器铝合金腔体加工.html","case-medical-device-lab-instrument-aluminum-housing.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—医疗器械研发样件与定位治具.html","case-medical-device-rd-prototype-positioning-fixture.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业案例—医疗器械PEEK定位块与测试夹具.html","case-medical-device-peek-positioning-block-test-fixture.html","yes","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}","{""sections"":5,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":5}"
"行业中心—半导体子页面.html","industry-semiconductor.html","no","{""sections"":8,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":10}","{""sections"":8,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":8}"
"行业中心—电子子页面.html","industry-electronics.html","no","{""sections"":8,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":10}","{""sections"":8,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":8}"
"行业中心—航天子页面.html","industry-aerospace.html","no","{""sections"":8,""cards"":21,""links"":126,""buttons"":1,""images"":19,""h1"":1,""h2"":4,""h3"":15}","{""sections"":7,""cards"":21,""links"":127,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"行业中心—机器人技术子页面.html","industry-robotics.html","no","{""sections"":8,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":10}","{""sections"":8,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":8}"
"行业中心—汽车制造子页面.html","industry-automotive.html","no","{""sections"":9,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":11}","{""sections"":8,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":8}"
"行业中心—通信子页面.html","industry-telecommunications.html","no","{""sections"":8,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":10}","{""sections"":8,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":8}"
"行业中心—消费品子页面.html","industry-consumer-products.html","no","{""sections"":8,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":10}","{""sections"":8,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":8}"
"行业中心—新能源子页面.html","industry-new-energy.html","no","{""sections"":8,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":10}","{""sections"":7,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":7}"
"行业中心—行业部分.html","industries.html","no","{""sections"":7,""cards"":22,""links"":130,""buttons"":14,""images"":22,""h1"":1,""h2"":3,""h3"":14}","{""sections"":8,""cards"":36,""links"":142,""buttons"":1,""images"":21,""h1"":1,""h2"":3,""h3"":14}"
"行业中心—医疗器械子页面.html","industry-medical-devices.html","no","{""sections"":9,""cards"":16,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":4,""h3"":11}","{""sections"":8,""cards"":16,""links"":126,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":8}"
"营销页面.html","index.html","yes","{""sections"":17,""cards"":110,""links"":152,""buttons"":28,""images"":72,""h1"":3,""h2"":12,""h3"":23}","{""sections"":17,""cards"":110,""links"":152,""buttons"":28,""images"":72,""h1"":3,""h2"":12,""h3"":23}"
"资源中心—帮助FAQ子页面.html","resource-faq.html","yes","{""sections"":6,""cards"":18,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":1,""h3"":5}","{""sections"":6,""cards"":18,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":1,""h3"":5}"
"资源中心—材料手册子页面.html","resource-material-handbook.html","yes","{""sections"":7,""cards"":16,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":2,""h3"":8}","{""sections"":7,""cards"":16,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":2,""h3"":8}"
"资源中心—工艺指南子页面.html","resource-process-guide.html","yes","{""sections"":7,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":6}","{""sections"":7,""cards"":13,""links"":124,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":6}"
"资源中心—设计规范子页面.html","resource-design-guidelines.html","yes","{""sections"":6,""cards"":16,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":2,""h3"":7}","{""sections"":6,""cards"":16,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":2,""h3"":7}"
"资源中心—资源部分.html","resources.html","yes","{""sections"":8,""cards"":13,""links"":128,""buttons"":1,""images"":17,""h1"":1,""h2"":4,""h3"":8}","{""sections"":8,""cards"":13,""links"":128,""buttons"":1,""images"":17,""h1"":1,""h2"":4,""h3"":8}"
